framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,,Mapped,MR-001 | MR-003 | MR-004 | MR-005 | MR-006 | MR-008 | MR-010 | MR-012 | MR-015 | MR-019 | MR-021 | MR-024 | MR-025 | MR-046 | MR-049 | MR-050 | MR-052 | MR-053 | MR-056 | MR-061 | MR-066,"Biased or discriminatory outputs and decisions | Toxic, hateful, or harassing content generation | Violent or extremist content generation | Child sexual abuse material and child-safety harm | Disparate performance across groups and languages | Sexual content and non-consensual intimate imagery | Prompt injection and jailbreaking | Adversarial examples and evasion attacks | Residual AI system security and availability weaknesses | Insecure or vulnerable code generation | Hallucination and fabricated output | Defamation and false statements about people | Overconfidence, sycophancy and poor calibration | Inadequate evaluation, testing and benchmarking | Physical safety harm and accidents | Inaccuracy and poor predictive performance | Emergent dangerous capabilities | Goal misspecification, specification gaming and reward hacking | Lack of robustness to distribution shift and edge cases | Over-refusal and excessive safety filtering | Change deployed without revalidation",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.2.5,ISO/IEC 42001 Annex A A.6.2.5,,Mapped,MR-020,"Insecure integration with external tools, plugins and APIs",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,,Mapped,MR-010 | MR-050 | MR-054 | MR-057 | MR-058 | MR-065 | MR-066,Prompt injection and jailbreaking | Inaccuracy and poor predictive performance | Loss of meaningful human oversight and control | Multi-agent interaction risks | Model performance drift and degradation over time | Vendor model version churn and undisclosed updates | Change deployed without revalidation,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.2.7,ISO/IEC 42001 Annex A A.6.2.7,,Mapped,MR-045 | MR-055,"Insufficient documentation, transparency and data provenance | Lack of explainability and interpretability",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.2.8,ISO/IEC 42001 Annex A A.6.2.8,,Mapped,MR-069,"Inadequate logging, record-keeping and traceability",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.7.2,ISO/IEC 42001 Annex A A.7.2,,Mapped,MR-013,Disclosure of confidential or proprietary information,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.7.3,ISO/IEC 42001 Annex A A.7.3,,Mapped,MR-011 | MR-014 | MR-039,Unlawful or non-consensual collection and processing of personal data | Data and model poisoning and backdoors | Intellectual property and copyright infringement,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.7.4,ISO/IEC 42001 Annex A A.7.4,,Mapped,MR-001 | MR-002 | MR-006 | MR-009 | MR-059,Biased or discriminatory outputs and decisions | Stereotyping and representational harm | Disparate performance across groups and languages | Leakage of personal or sensitive data | Poor data quality and representativeness,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.7.5,ISO/IEC 42001 Annex A A.7.5,,Mapped,MR-009 | MR-011 | MR-014 | MR-017 | MR-039 | MR-045,"Leakage of personal or sensitive data | Unlawful or non-consensual collection and processing of personal data | Data and model poisoning and backdoors | Privacy-invasive inference and re-identification | Intellectual property and copyright infringement | Insufficient documentation, transparency and data provenance",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.7.6,ISO/IEC 42001 Annex A A.7.6,,Mapped,MR-059,Poor data quality and representativeness,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.8.2,ISO/IEC 42001 Annex A A.8.2,,Mapped,MR-013 | MR-021 | MR-022 | MR-023 | MR-034 | MR-036 | MR-045 | MR-055,"Disclosure of confidential or proprietary information | Hallucination and fabricated output | Unsafe or incorrect advice in high-stakes domains | Contribution to misinformation and information-ecosystem degradation | Overreliance and automation bias | Anthropomorphism, emotional dependence and psychological harm | Insufficient documentation, transparency and data provenance | Lack of explainability and interpretability",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.8.3,ISO/IEC 42001 Annex A A.8.3,,Mapped,MR-068,Inadequate AI incident response and communication,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.8.4,ISO/IEC 42001 Annex A A.8.4,,Mapped,MR-068,Inadequate AI incident response and communication,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.8.5,ISO/IEC 42001 Annex A A.8.5,,Mapped,MR-040,Regulatory non-compliance and legal liability,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.9.2,ISO/IEC 42001 Annex A A.9.2,,Mapped,MR-032 | MR-043 | MR-054 | MR-062,Deliberate misuse and repurposing for harm | Inadequate AI governance and oversight processes | Loss of meaningful human oversight and control | Shadow AI and unsanctioned use of AI tools,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.9.3,ISO/IEC 42001 Annex A A.9.3,,Mapped,MR-043,Inadequate AI governance and oversight processes,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.9.4,ISO/IEC 42001 Annex A A.9.4,,Mapped,MR-022 | MR-026 | MR-027 | MR-028 | MR-029 | MR-030 | MR-031 | MR-032 | MR-033 | MR-041 | MR-060,"Unsafe or incorrect advice in high-stakes domains | Disinformation and influence operations | AI-enabled cyberattacks and offensive cyber operations | AI-enabled fraud, scams and social engineering | Facilitation of weapons, CBRN and serious physical harm (capability uplift) | Manipulation, persuasion and dark patterns | Impersonation, deepfakes and synthetic media | Deliberate misuse and repurposing for harm | Mass surveillance and censorship enablement | Academic and professional dishonesty | Use outside intended scope",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.10.2,ISO/IEC 42001 Annex A A.10.2,,Mapped,MR-042,Unclear accountability and responsibility for AI decisions,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.10.3,ISO/IEC 42001 Annex A A.10.3,,Mapped,MR-018 | MR-020 | MR-044 | MR-047 | MR-064 | MR-065,"AI supply-chain and infrastructure vulnerabilities | Insecure integration with external tools, plugins and APIs | Exploitative labor in the AI supply chain | Vendor/model concentration, monoculture and correlated failure | Embedded AI introduced through procurement | Vendor model version churn and undisclosed updates",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.10.4,ISO/IEC 42001 Annex A A.10.4,,Mapped,MR-040,Regulatory non-compliance and legal liability,Clear,
