framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.018,Prompt Injection,An attack which exploits the concatenation of untrusted input with a prompt constructed by a higher-trust party such as the application designer.,Mapped,MR-010,Prompt injection and jailbreaking,Clear,"Prompt injection is MR-010 directly, with the deployed-LLM prompt injection sub-risk (MR-010.1)."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.021,Clean-label Backdoor,A backdoor poisoning attack mounted without control over training-data labels (a clean-label variant of backdoor poisoning).,Mapped,MR-014,Data and model poisoning and backdoors,Clear,Clean-label backdoor is a backdoor-insertion variant under data and model poisoning (MR-014).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.022,Evasion,"Modifying test samples to create adversarial examples that the model misclassifies at inference time, without altering the model.",Mapped,MR-012,Adversarial examples and evasion attacks,Clear,Evasion via adversarial examples is the register's adversarial examples and evasion risk (MR-012).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.023,Backdoor Poisoning,A poisoning attack that causes a model to perform an adversary-selected behaviour in response to inputs that follow a particular backdoor pattern.,Mapped,MR-014,Data and model poisoning and backdoors,Clear,Backdoor poisoning maps to MR-014 with the direct model manipulation and backdoor insertion sub-risk.
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.024,Targeted Poisoning,A poisoning attack that changes the prediction on a small number of targeted samples.,Mapped,MR-014,Data and model poisoning and backdoors,Clear,Targeted poisoning is a training-data poisoning variant under MR-014.
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.025,Black-box Evasion,An evasion attack mounted with only query access and no knowledge of the model's parameters or architecture (black-box setting).,Mapped,MR-012,Adversarial examples and evasion attacks,Clear,Black-box evasion is an evasion attack under MR-012 conducted with query access only.
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.026,Model Poisoning (integrity),"A poisoning attack which operates through model control, here aimed at violating integrity (causing targeted misclassification or adversary-selected behaviour).",Mapped,MR-014,Data and model poisoning and backdoors,Clear,Model poisoning for integrity maps to MR-014 (direct model manipulation and backdoor insertion).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.027,Misaligned Outputs,"Integrity attacks (often via indirect prompt injection) that cause a GenAI system to become untrustworthy and generate content that deviates from benign behaviour to align with the attacker's objectives (e.g. incorrect summaries, attacker-specified content, suppressed sources, hijacked agents).",Mapped,MR-010,Prompt injection and jailbreaking,Clear,Misaligned outputs are produced via indirect prompt injection that manipulates trusted output (MR-010.4); the agent-hijack variant is MR-071.
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.031,Model Extraction,A type of privacy attack that extracts details of the model architecture and/or parameters.,Mapped,MR-016,"Model theft, extraction and weight leakage",Clear,"Model extraction is the register's model theft and extraction risk (MR-016), via the inference API or white-box access."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.032,Reconstruction,Privacy attacks that reconstruct sensitive data in a model's training data from aggregate information (data reconstruction).,Mapped,MR-009 | MR-017,Leakage of personal or sensitive data | Privacy-invasive inference and re-identification,Partial,Data reconstruction has no dedicated register risk; it is covered by leakage of sensitive data (MR-009) and privacy-invasive inference (MR-017).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.033,Membership Inference,A data privacy attack to determine whether a data sample was part of the training set of a machine learning model.,Mapped,MR-017,Privacy-invasive inference and re-identification,Clear,Membership inference is the register's privacy-invasive inference and re-identification risk (MR-017).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.034,Property Inference,A data privacy attack that infers a global property about the training data of a machine learning model.,Mapped,MR-017,Privacy-invasive inference and re-identification,Clear,Property inference is a privacy-invasive inference attack under MR-017.
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.035,Prompt Extraction,An attack that tries to divulge the system prompt or other information in the context of a large language model that would normally be hidden from a user.,Mapped,MR-013,Disclosure of confidential or proprietary information,Clear,Prompt extraction is system-prompt and instruction extraction (MR-013.2) under disclosure of confidential or proprietary information (MR-013).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.036,Leaking information from user interactions,"An indirect prompt injection that instructs a model to persuade the end user to reveal information, then exfiltrates it (e.g. by querying an attacker-controlled URL or via markdown image rendering).",Mapped,MR-009,Leakage of personal or sensitive data,Clear,Leaking information from user interactions is prompt-induced leakage of sensitive data (MR-009.1) driven by indirect prompt injection (MR-010.9).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.037,Training Data Attacks,Training-data extraction: the ability of an attacker to extract the training data of a generative model by prompting the model with specific inputs.,Mapped,MR-009,Leakage of personal or sensitive data,Clear,"Training-data extraction surfaces memorized sensitive data, mapping to leakage of personal or sensitive data (MR-009)."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.038,Data Extraction,Extraction of memorized training data or other sensitive context from a generative model through crafted queries (information-extraction attacks).,Mapped,MR-009,Leakage of personal or sensitive data,Clear,Data extraction of memorized content maps to leakage of personal or sensitive data in outputs (MR-009).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.039,Compromising connected resources,Prompt injection attacks that cause a GenAI system to leak or exfiltrate private information from the restricted resources it can access (e.g. an email client forwarding messages to an attacker inbox; querying an attacker-controlled URL with user data).,Mapped,MR-020 | MR-071,"Insecure integration with external tools, plugins and APIs | Autonomous agent hijacking and excessive-agency abuse",Clear,"Compromising connected resources uses injection to exfiltrate data from tools the model can reach, mapping to insecure tool/integration (MR-020) and data exfiltration through agent tool invocation (MR-071.6)."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.051,Model Poisoning (supply chain),Publishing a poisoned model (or poisoned data) into the AI supply chain so that downstream users inherit adversary-controlled behaviour.,Mapped,MR-018 | MR-014,AI supply-chain and infrastructure vulnerabilities | Data and model poisoning and backdoors,Clear,"Supply-chain model poisoning maps to the AI supply-chain risk (MR-018), poisoned models published to registries (MR-018.2) and data and model poisoning (MR-014)."
